,timespan,SleepStatus,actigraphy,light,Schedule,detailed_sleepwake
0,0,Wake,460.0,0.33,0,1.0
1,1,Wake,262.0,0.66,0,1.0
2,2,Wake,207.0,0.66,0,1.0
3,3,Wake,490.0,0.75,0,1.0
4,4,Wake,230.0,1.96,0,1.0
5,5,Wake,150.0,0.94,0,1.0
6,6,Wake,475.0,3.83,0,1.0
7,7,Wake,416.0,4.76,0,1.0
8,8,Wake,557.0,8.72,0,1.0
9,9,Wake,416.0,14.67,0,1.0
10,10,Wake,594.0,1.38,0,1.0
11,11,Wake,575.0,4.46,0,1.0
12,12,Wake,697.0,6.3,0,1.0
13,13,Wake,557.0,5.42,0,1.0
14,14,Wake,403.0,6.44,0,1.0
15,15,Wake,460.0,5.54,0,1.0
16,16,Wake,230.0,6.04,0,1.0
17,17,Wake,342.0,7.34,0,1.0
18,18,Wake,444.0,5.42,0,1.0
19,19,Wake,310.0,8.0,0,1.0
20,20,Wake,390.0,5.42,0,1.0
21,21,Wake,113.0,4.18,0,1.0
22,22,Wake,199.0,4.18,0,1.0
23,23,Wake,614.0,4.18,0,1.0
24,24,Wake,614.0,4.56,0,1.0
25,25,Wake,575.0,5.78,0,1.0
26,26,Wake,299.0,5.08,0,1.0
27,27,Wake,214.0,4.46,0,1.0
28,28,Wake,237.0,5.54,0,1.0
29,29,Wake,193.0,5.19,0,1.0
30,30,Wake,245.0,5.91,0,1.0
31,31,Wake,342.0,5.42,0,1.0
32,32,Wake,245.0,6.17,0,1.0
33,33,Wake,237.0,5.42,0,1.0
34,34,Wake,390.0,5.91,0,1.0
35,35,Wake,156.0,6.17,0,1.0
36,36,Wake,321.0,5.54,0,1.0
37,37,Wake,180.0,5.08,0,1.0
38,38,Wake,230.0,4.09,0,1.0
39,39,Wake,136.0,5.42,0,1.0
40,40,Wake,237.0,5.08,0,1.0
41,41,Wake,460.0,4.09,0,1.0
42,42,Wake,245.0,4.65,0,1.0
43,43,Wake,416.0,4.86,0,1.0
44,44,Wake,321.0,7.18,0,1.0
45,45,Wake,310.0,5.19,0,1.0
46,46,Wake,490.0,5.08,0,1.0
47,47,Wake,281.0,5.19,0,1.0
48,48,Wake,262.0,4.86,0,1.0
49,49,Wake,193.0,4.56,0,1.0
50,50,Wake,193.0,3.83,0,1.0
51,51,Wake,540.0,3.36,0,1.0
52,52,Wake,614.0,3.02,0,1.0
53,53,Wake,557.0,1.61,0,1.0
54,54,Wake,403.0,4.36,0,1.0
55,55,Wake,444.0,3.67,0,1.0
56,56,Wake,299.0,4.56,0,1.0
57,57,Wake,299.0,4.56,0,1.0
58,58,Wake,403.0,4.18,0,1.0
59,59,Wake,768.0,2.18,0,1.0
60,60,Wake,365.0,1.35,0,1.0
61,61,Wake,444.0,0.08,0,1.0
62,62,Wake,675.0,0.88,0,1.0
63,63,Wake,321.0,2.54,0,1.0
64,64,Wake,353.0,4.36,0,1.0
65,65,Wake,262.0,4.09,0,1.0
66,66,Wake,253.0,4.56,0,1.0
67,67,Wake,245.0,4.65,0,1.0
68,68,Wake,237.0,4.56,0,1.0
69,69,Wake,390.0,3.91,0,1.0
70,70,Wake,281.0,3.91,0,1.0
71,71,Wake,253.0,4.76,0,1.0
72,72,Wake,403.0,5.19,0,1.0
73,73,Wake,342.0,3.59,0,1.0
74,74,Wake,253.0,0.01,0,1.0
75,75,Wake,281.0,0.01,0,1.0
76,76,Wake,310.0,0.01,0,1.0
77,77,Wake,281.0,0.01,0,1.0
78,78,Wake,353.0,1.68,0,1.0
79,79,Wake,168.0,1.79,0,1.0
80,80,Wake,23.0,1.33,0,1.0
81,81,Wake,230.0,1.83,0,1.0
82,82,Wake,136.0,9.31,0,1.0
83,83,Wake,187.0,7.5,0,1.0
84,84,Wake,214.0,6.17,0,1.0
85,85,Wake,299.0,2.38,0,1.0
86,86,Wake,378.0,4.76,0,1.0
87,87,Wake,299.0,3.36,0,1.0
88,88,Wake,332.0,3.36,0,1.0
89,89,Wake,310.0,0.18,0,1.0
90,90,Wake,237.0,0.01,0,1.0
91,91,Wake,187.0,0.02,0,1.0
92,92,Wake,168.0,0.9,0,1.0
93,93,Wake,299.0,0.14,0,1.0
94,94,Wake,1235.0,1.65,0,1.0
95,95,Wake,697.0,3.15,0,1.0
96,96,Wake,29.0,1.38,0,1.0
97,97,Wake,207.0,1.51,0,1.0
98,98,Wake,207.0,1.68,0,1.0
99,99,Wake,93.0,2.95,0,1.0
100,100,Wake,156.0,2.83,0,1.0
101,101,Wake,126.0,2.71,0,1.0
102,102,Wake,214.0,4.09,0,1.0
103,103,Wake,310.0,2.89,0,1.0
104,104,Wake,353.0,0.84,0,1.0
105,105,Wake,490.0,0.9,0,1.0
106,106,Wake,1089.0,2.38,0,1.0
107,107,Wake,523.0,1.07,0,1.0
108,108,Wake,342.0,0.94,0,1.0
109,109,Wake,342.0,0.63,0,1.0
110,110,Wake,321.0,0.46,0,1.0
111,111,Wake,8.0,0.01,0,1.0
112,112,Wake,332.0,0.82,0,1.0
113,113,Wake,365.0,4.27,0,1.0
114,114,Wake,575.0,4.56,0,1.0
115,115,Wake,540.0,0.08,0,1.0
116,116,Wake,460.0,0.06,0,1.0
117,117,Wake,634.0,0.05,0,1.0
118,118,Wake,444.0,43.34,0,1.0
119,119,Wake,214.0,112.4,0,1.0
120,120,Wake,86.0,52.66,0,1.0
121,121,Wake,675.0,27.5,0,1.0
122,122,Wake,378.0,0.29,0,1.0
123,123,Wake,187.0,0.1,0,1.0
124,124,Wake,460.0,0.13,0,1.0
125,125,Wake,180.0,0.07,0,1.0
126,126,Wake,390.0,0.27,0,1.0
127,127,Wake,271.0,0.13,0,1.0
128,128,Wake,281.0,0.03,0,1.0
129,129,Wake,506.0,0.02,0,1.0
130,130,Wake,675.0,0.56,0,1.0
131,131,Wake,365.0,0.9,0,1.0
132,132,Wake,460.0,0.01,0,1.0
133,133,Wake,444.0,3.51,0,1.0
134,134,Wake,930.0,8.92,0,1.0
135,135,Wake,720.0,16.35,0,1.0
136,136,Wake,0.0,21.67,0,1.0
137,137,Wake,0.0,20.3,0,0.0
138,138,Wake,0.0,20.3,0,0.0
139,139,Wake,0.0,19.44,0,0.0
140,140,Wake,0.0,18.62,0,0.0
141,141,Wake,0.0,18.62,0,0.0
142,142,Wake,0.0,18.62,0,0.0
143,143,Wake,0.0,45.25,0,0.0
144,144,Wake,0.0,48.29,0,1.0
145,145,Wake,378.0,0.9,0,1.0
146,146,Wake,0.0,0.01,0,1.0
147,147,Wake,2.0,0.01,0,0.0
148,148,Wake,2.0,0.01,0,0.0
149,149,Wake,32.0,0.01,0,0.0
150,150,Sleep,0.0,0.01,0,0.0
151,151,Sleep,0.0,0.01,0,0.0
152,152,Sleep,2.0,0.01,0,0.0
153,153,Sleep,0.0,0.01,0,1.0
154,154,Sleep,253.0,0.01,0,1.0
155,155,Sleep,0.0,0.01,0,1.0
156,156,Sleep,0.0,0.01,0,0.0
157,157,Sleep,0.0,0.01,0,0.0
158,158,Sleep,0.0,0.01,0,0.0
159,159,Sleep,0.0,0.01,0,0.0
160,160,Sleep,2.0,0.01,0,0.0
161,161,Sleep,0.0,0.01,0,0.0
162,162,Sleep,0.0,0.01,0,0.0
163,163,Sleep,0.0,0.01,0,0.0
164,164,Sleep,0.0,0.01,0,0.0
165,165,Sleep,0.0,0.01,0,1.0
166,166,Sleep,222.0,0.01,0,1.0
167,167,Sleep,0.0,0.01,0,1.0
168,168,Sleep,0.0,0.01,0,0.0
169,169,Sleep,0.0,0.01,0,0.0
170,170,Sleep,0.0,0.01,0,0.0
171,171,Sleep,0.0,0.01,0,0.0
172,172,Sleep,0.0,0.01,0,0.0
173,173,Sleep,0.0,0.01,0,0.0
174,174,Sleep,0.0,0.01,0,0.0
175,175,Sleep,0.0,0.01,0,0.0
176,176,Sleep,0.0,0.01,0,0.0
177,177,Sleep,0.0,0.01,0,0.0
178,178,Sleep,0.0,0.01,0,0.0
179,179,Sleep,0.0,0.01,0,0.0
180,180,Sleep,0.0,0.01,0,0.0
181,181,Sleep,0.0,0.01,0,0.0
182,182,Sleep,0.0,0.01,0,0.0
183,183,Sleep,0.0,0.01,0,0.0
184,184,Sleep,0.0,0.01,0,0.0
185,185,Sleep,0.0,0.01,0,0.0
186,186,Sleep,0.0,0.01,0,0.0
187,187,Sleep,0.0,0.01,0,0.0
188,188,Sleep,0.0,0.01,0,0.0
189,189,Sleep,0.0,0.01,0,0.0
190,190,Sleep,0.0,0.01,0,0.0
191,191,Sleep,0.0,0.01,0,0.0
192,192,Sleep,0.0,0.01,0,0.0
193,193,Sleep,0.0,0.01,0,0.0
